,cost,storage_available,k,optimal_decision
84,270.1110690099786,"[inf, 1, 0]",5,"(0, 1)"
85,259.67940969882375,"[inf, 1, 1]",5,"(0, 2)"
86,67.57058767112547,"[inf, 1, 2]",5,"(2, 1)"
87,57.1360336502613,"[inf, 1, 3]",5,"(2, 2)"
88,269.9061386278837,"[inf, 2, 0]",5,"(1, 0)"
89,69.67804344244092,"[inf, 2, 1]",5,"(1, 2)"
90,67.53448409751138,"[inf, 2, 2]",5,"(2, 1)"
91,57.1066594340833,"[inf, 2, 3]",5,"(2, 2)"
92,80.05212764650753,"[inf, 3, 0]",5,"(1, 1)"
93,69.63378868928011,"[inf, 3, 1]",5,"(1, 2)"
94,67.49729017475772,"[inf, 3, 2]",5,"(2, 1)"
95,57.07639864228946,"[inf, 3, 3]",5,"(2, 2)"
96,448.4886569128292,"[inf, 0, 0]",6,"(0, 0)"
97,248.3508358953992,"[inf, 0, 1]",6,"(0, 2)"
98,246.14345261588517,"[inf, 0, 2]",6,"(2, 0)"
99,46.00063630978009,"[inf, 0, 3]",6,"(2, 2)"
100,258.6377036387496,"[inf, 1, 0]",6,"(0, 1)"
101,248.30923251344848,"[inf, 1, 1]",6,"(0, 2)"
102,56.305490517269526,"[inf, 1, 2]",6,"(2, 1)"
103,45.972188725742285,"[inf, 1, 3]",6,"(2, 2)"
104,258.4327841629037,"[inf, 2, 0]",6,"(1, 0)"
105,58.30787680803882,"[inf, 2, 1]",6,"(1, 2)"
106,56.269397133058824,"[inf, 2, 2]",6,"(2, 1)"
107,45.94282435072641,"[inf, 2, 3]",6,"(2, 2)"
108,68.57878441850363,"[inf, 3, 0]",6,"(1, 1)"
109,58.26363292580473,"[inf, 3, 1]",6,"(1, 2)"
110,56.2322137086977,"[inf, 3, 2]",6,"(2, 1)"
111,45.91257369852363,"[inf, 3, 3]",6,"(2, 2)"
112,437.49715893810054,"[inf, 0, 0]",7,"(0, 0)"
113,237.46252645065803,"[inf, 0, 1]",7,"(0, 2)"
114,235.36022355289356,"[inf, 0, 2]",7,"(2, 0)"
115,35.31865981344518,"[inf, 0, 3]",7,"(2, 2)"
116,247.6462162282278,"[inf, 1, 0]",7,"(0, 1)"
117,237.42093328878042,"[inf, 1, 1]",7,"(0, 2)"
118,45.5222713241208,"[inf, 1, 2]",7,"(2, 1)"
119,35.290221761930496,"[inf, 1, 3]",7,"(2, 2)"
120,247.44130765863093,"[inf, 2, 0]",7,"(1, 0)"
121,47.41958813434394,"[inf, 2, 1]",7,"(1, 2)"
122,45.486188129313504,"[inf, 2, 2]",7,"(2, 1)"
123,35.26086722807676,"[inf, 2, 3]",7,"(2, 2)"
124,57.587319151206955,"[inf, 3, 0]",7,"(1, 1)"
